Episode,Reward,AverageReward
0,-10.0,-10.0
1,-10.0,-10.0
2,-10.0,-10.0
3,-10.0,-10.0
4,-10.0,-10.0
5,-10.0,-10.0
6,1.6125033503082282,-8.341070949955967
7,-10.0,-8.548437081211471
8,2.1580675422138835,-7.358825456386431
9,-10.0,-7.622942910747788
10,-10.0,-7.839039009770716
11,1.2540873760385955,-7.08127847761994
12,-10.0,-7.305795517803022
13,1.6474805682122755,-6.666275797373358
14,-10.0,-6.8885240775484675
15,-10.0,-7.082991322701688
16,2.3663227016885555,-6.527149321266968
17,-10.0,-6.720085470085469
18,-10.0,-6.892712550607287
19,-10.0,-7.0480769230769225
20,-10.0,-7.188644688644688
21,-10.0,-7.316433566433566
22,-10.0,-7.433110367892977
23,-10.0,-7.540064102564102
24,1.7765344411685877,-7.167400160814794
25,-10.0,-7.276346308475764
26,-10.0,-7.37722237112481
27,2.046301259715894,-7.040667955737641
28,1.375703564727955,-6.750448248135379
29,-10.0,-6.8587666398642
30,-10.0,-6.960096748255677
31,-10.0,-7.055093724872688
32,-10.0,-7.144333308967456
33,1.674417046368266,-6.884958298516405
34,1.9403645135352452,-6.632806218172072
35,-10.0,-6.726339378778403
36,2.3130528008576787,-6.4820314820314815
37,-10.0,-6.57460960092539
38,-10.0,-6.662440123978586
39,-10.0,-6.745879120879121
40,1.8553336906995443,-6.5360934425479345
41,-10.0,-6.618567408201555
42,-10.0,-6.697205375452682
43,1.1495577593138568,-6.518869849662534
44,-10.0,-6.59622829744781
45,-10.0,-6.6702233344598145
46,-10.0,-6.741069646492585
47,2.1906325381935137,-6.554992517644956
48,-10.0,-6.625298792795059
49,-10.0,-6.692792816939158
50,1.5769230769230766,-6.461254355400697
51,2.4294425087108014,-6.212665505226481
52,-10.0,-6.212665505226481
53,1.2363977485928705,-5.987937550254623
54,2.0436880192977753,-5.747063789868669
55,1.9588582149557758,-5.507886625569553
56,1.580943446797105,-5.5085178236397745
57,2.411953899758778,-5.260278745644601
58,1.517220584293755,-5.2730956848030015
59,-10.0,-5.2730956848030015
60,-10.0,-5.2730956848030015
61,1.119002948271241,-5.275797373358349
62,1.8287992495309568,-5.03922138836773
63,1.3598231037255428,-5.044974537657464
64,-10.0,-5.044974537657464
65,2.0414768158670595,-4.804145001340124
66,1.660546770302868,-4.818260519967837
67,1.5608415974269634,-4.587043688019298
68,1.4609354060573574,-4.357824979898151
69,-10.0,-4.357824979898151
70,-10.0,-4.357824979898151
71,-10.0,-4.357824979898151
72,-10.0,-4.357824979898151
73,1.1415170195658,-4.134994639506834
74,-10.0,-4.370525328330206
75,1.7393460198338246,-4.13573840793353
76,-10.0,-4.13573840793353
77,-10.0,-4.376664433127848
78,-10.0,-4.604178504422407
79,-10.0,-4.604178504422407
80,-10.0,-4.604178504422407
81,2.3876306620209062,-4.356425891181988
82,1.9323237737871886,-4.117779415706245
83,2.06841329402305,-4.10989949075315
84,-10.0,-4.3487067810238536
85,1.932122755293487,-4.1100643259179845
86,-10.0,-4.356325381935138
87,-10.0,-4.356325381935139
88,2.2483248458858216,-4.111358885017421
89,1.3077593138568748,-3.8852036987402836
90,-10.0,-4.122310372554275
91,-10.0,-4.122310372554275
92,-10.0,-4.122310372554274
93,-10.0,-4.345301527740552
94,-10.0,-4.345301527740552
95,1.8054811042615921,-4.10919190565532
96,-10.0,-4.10919190565532
97,-10.0,-4.35300455641919
98,-10.0,-4.35300455641919
99,1.8444786920396679,-4.116114982578397
